filename,rows,sampleRate,ppc,numFrames,originalBytes,single_compBytes,single_ratio,single_sim,sim_Va_single,sim_Ia_single,rmse_single,snr_single,multi_compBytes,multi_ratio,multi_sim,sim_Va_multi,sim_Ia_multi,rmse_multi,snr_multi,ratio_gain
wave1.csv,100233,10000,200,501,4811184,48626,98.94,0.994828,0.999918,0.990801,1.655137,27.34,48626,98.94,0.994828,0.999918,0.990801,1.655137,27.34,1.00
wave2.csv,68358,10000,200,341,3281184,33253,98.67,0.994155,0.999907,0.991104,1.693595,26.97,33253,98.67,0.994155,0.999907,0.991104,1.693595,26.97,1.00
wave3.csv,50295,10000,200,251,2414160,24121,100.09,0.995906,0.999914,0.992760,1.634941,27.89,24121,100.09,0.995906,0.999914,0.992760,1.634941,27.89,1.00
wave4.csv,68342,10000,200,341,3280416,37380,87.76,0.997247,0.998315,0.995917,6.514446,23.02,37380,87.76,0.997247,0.998315,0.995917,6.514446,23.02,1.00
