filename,rows,sampleRate,pointsPerCycle,numFrames,originalBytes,compressedBytes,compressionRatio,avgSimilarity,sim_Va,sim_Vb,sim_Vc,sim_Ia,sim_Ib,sim_Ic,avgRMSE,avgSNR
wave1.csv,100233,10000,200,501,4811184,48626,98.94,0.994828,0.999918,0.999910,0.999915,0.990801,0.990688,0.987734,1.655137,27.34
wave2.csv,68358,10000,200,341,3281184,33253,98.67,0.994155,0.999907,0.999909,0.999914,0.991104,0.986558,0.987541,1.693595,26.97
wave3.csv,50295,10000,200,251,2414160,24121,100.09,0.995906,0.999914,0.999914,0.999920,0.992760,0.992162,0.990766,1.634941,27.89
wave4.csv,68342,10000,200,341,3280416,37380,87.76,0.997247,0.998315,0.998459,0.998266,0.995917,0.998262,0.994264,6.514446,23.02
